id,image_url,title,datetime,location,description,spots_left,created_at,Ended,start_time,end_time,redirect_link,hours_approved,location_link,redemption_code
e005aa06-06c1-4256-be76-6ed6ce542175,,Meal Prep & Pack,2025-12-06 16:00:00+00,"364 Pale Horse Bend Buda, TX 78610","Saturday Morning Meal Prep 🍞💪

Start your Saturday with purpose! Join us as we prepare 306 Peanut Butter & Jelly sandwiches, load up coolers, and pack meals that half of which will head straight into the hands of our homeless neighbors that very same day.

You’ll be part of the behind-the-scenes crew that makes our outreach possible—fueling both our Saturday AND Sunday routes with love, compassion, and the Gospel message. From spreading peanut butter to praying over meals, every moment counts. 🧡

🥪 Prep | 📦 Pack | 🚐 Load | 🙌 Serve

Must be 18 or older to volunteer!",0,2025-11-21 02:58:51.649321+00,t,2025-12-06 16:00:00+00,2025-12-06 19:00:00+00,,t,,
bab4c1d0-82be-49cb-b2d1-53f8c7d3bb96,,7th Street Handouts,2025-12-13 19:30:00+00,"720 E 7th St, Austin, TX","Come Be the Hands and Feet of Jesus ✝️🫶

Join us this Saturday as we hit the streets of Austin to bring meals, Bibles, and prayer to those experiencing homelessness. Every handout is a chance to offer not just food—but hope, encouragement, and the powerful love of Jesus Christ.

Whether you’re a returning volunteer or it’s your first time out, you’ll be walking in purpose alongside a community of passionate believers ready to make an eternal impact. Let’s be bold in love, generous in spirit, and faithful in action. 💛

📍Austin, TX | ⏰ Saturdays | 👐 Meals & Bibles | 🙏 Prayer & Connection

Must be 18 or older to volunteer!

(PARKING IS FREE)",4,2025-11-21 03:29:00.468151+00,t,2025-12-13 19:30:00+00,2025-12-13 21:30:00+00,,t,,
a31c03f8-42d5-4ff9-911d-8952772557f4,,7th Street Handouts,2025-12-20 19:30:00+00,"720 E 7th St, Austin, TX","Come Be the Hands and Feet of Jesus ✝️🫶

Join us this Saturday as we hit the streets of Austin to bring meals, Bibles, and prayer to those experiencing homelessness. Every handout is a chance to offer not just food—but hope, encouragement, and the powerful love of Jesus Christ.

Whether you’re a returning volunteer or it’s your first time out, you’ll be walking in purpose alongside a community of passionate believers ready to make an eternal impact. Let’s be bold in love, generous in spirit, and faithful in action. 💛

📍Austin, TX | ⏰ Saturdays | 👐 Meals & Bibles | 🙏 Prayer & Connection

Must be 18 or older to volunteer!

(PARKING IS FREE)",0,2025-11-21 03:28:20.194213+00,t,2025-12-20 19:30:00+00,2025-12-20 21:30:00+00,,t,,
aba54d62-0f22-43a0-a5f7-607a89780eae,,7th Street Handouts,2025-12-27 19:30:00+00,"720 E 7th St, Austin, TX","Come Be the Hands and Feet of Jesus ✝️🫶

Join us this Saturday as we hit the streets of Austin to bring meals, Bibles, and prayer to those experiencing homelessness. Every handout is a chance to offer not just food—but hope, encouragement, and the powerful love of Jesus Christ.

Whether you’re a returning volunteer or it’s your first time out, you’ll be walking in purpose alongside a community of passionate believers ready to make an eternal impact. Let’s be bold in love, generous in spirit, and faithful in action. 💛

📍Austin, TX | ⏰ Saturdays | 👐 Meals & Bibles | 🙏 Prayer & Connection

Must be 18 or older to volunteer!

(PARKING IS FREE)",1,2025-11-21 03:29:35.857935+00,t,2025-12-27 19:30:00+00,2025-12-27 21:30:00+00,,t,,
50623e69-1c34-4e81-bbc5-aede1cc6f62a,,7th Street Handouts,2026-01-03 19:30:00+00,"720 E 7th St, Austin, TX","Come Be the Hands and Feet of Jesus ✝️🫶

Join us this Saturday as we hit the streets of Austin to bring meals, Bibles, and prayer to those experiencing homelessness. Every handout is a chance to offer not just food—but hope, encouragement, and the powerful love of Jesus Christ.

Whether you’re a returning volunteer or it’s your first time out, you’ll be walking in purpose alongside a community of passionate believers ready to make an eternal impact. Let’s be bold in love, generous in spirit, and faithful in action. 💛

📍Austin, TX | ⏰ Saturdays | 👐 Meals & Bibles | 🙏 Prayer & Connection

Must be 18 or older to volunteer!

(PARKING IS FREE)",1,2025-11-21 03:30:26.430956+00,t,2026-01-03 19:30:00+00,2026-01-03 21:30:00+00,,t,,
365f3eca-b01a-4248-aada-5c41ea6894bf,,Menchaca Handout,2026-01-24 19:30:00+00,"2025 W Ben White Boulevard Frontage Rd, Austin, TX",,0,2026-01-23 20:15:01.812136+00,t,2026-01-24 19:30:00+00,2026-01-24 21:30:00+00,,t,,
be29f424-be05-4d89-bf4b-79af7bcedf7f,,Riverside Handouts,2025-12-20 19:30:00+00,"1909 S Pleasant Valley Rd Austin, TX  78741","Come Be the Hands and Feet of Jesus ✝️🫶

Join us this Saturday as we hit the streets of Austin to bring meals, Bibles, and prayer to those experiencing homelessness. Every handout is a chance to offer not just food—but hope, encouragement, and the powerful love of Jesus Christ.

Whether you’re a returning volunteer or it’s your first time out, you’ll be walking in purpose alongside a community of passionate believers ready to make an eternal impact. Let’s be bold in love, generous in spirit, and faithful in action. 💛

📍Austin, TX | ⏰ Saturdays | 👐 Meals & Bibles | 🙏 Prayer & Connection

Must be 18 or older to volunteer!

(PARKING IS FREE)
",0,2025-11-21 03:24:36.921508+00,t,2025-12-20 19:30:00+00,2025-12-20 21:30:00+00,,t,,
bca8590d-eaa4-40e0-93ff-20b90aa2cefc,,Menchaca Handouts,2026-04-19 19:30:00+00,"2025 W Ben White Boulevard Frontage Rd, Austin, TX","Come Be the Hands and Feet of Jesus ✝️🫶

Join us this Sunday as we hit the streets of Austin to bring meals, Bibles, and prayer to those experiencing homelessness. Every handout is a chance to offer not just food—but hope, encouragement, and the powerful love of Jesus Christ.

Whether you’re a returning volunteer or it’s your first time out, you’ll be walking in purpose alongside a community of passionate believers ready to make an eternal impact. Let’s be bold in love, generous in spirit, and faithful in action. 💛

Must be 18 or older to volunteer!

(PARKING IS FREE)",7,2026-02-01 15:34:00.881024+00,f,2026-04-19 19:30:00+00,2026-04-19 21:30:00+00,,f,,
9051f645-1fe1-4ab6-a93c-2ec831a3b9ae,,Meal Prep & Pack,2025-12-13 16:00:00+00,"364 Pale Horse Bend Buda, TX 78610","Saturday Morning Meal Prep 🍞💪

Start your Saturday with purpose! Join us as we prepare 306 Peanut Butter & Jelly sandwiches, load up coolers, and pack meals that half of which will head straight into the hands of our homeless neighbors that very same day.

You’ll be part of the behind-the-scenes crew that makes our outreach possible—fueling both our Saturday AND Sunday routes with love, compassion, and the Gospel message. From spreading peanut butter to praying over meals, every moment counts. 🧡

🥪 Prep | 📦 Pack | 🚐 Load | 🙌 Serve

Must be 18 or older to volunteer!",2,2025-11-21 03:01:58.442888+00,t,2025-12-13 16:00:00+00,2025-12-13 19:00:00+00,,t,,
ba265911-b590-4aee-8c21-1402948c811f,,Meal Prep & Pack,2025-12-20 16:00:00+00,"364 Pale Horse Bend Buda, TX 78610","Saturday Morning Meal Prep 🍞💪

Start your Saturday with purpose! Join us as we prepare 306 Peanut Butter & Jelly sandwiches, load up coolers, and pack meals that half of which will head straight into the hands of our homeless neighbors that very same day.

You’ll be part of the behind-the-scenes crew that makes our outreach possible—fueling both our Saturday AND Sunday routes with love, compassion, and the Gospel message. From spreading peanut butter to praying over meals, every moment counts. 🧡

🥪 Prep | 📦 Pack | 🚐 Load | 🙌 Serve

Must be 18 or older to volunteer!",0,2025-11-21 03:17:05.800119+00,t,2025-12-20 16:00:00+00,2025-12-20 19:00:00+00,,t,,
